ID,LOOPTYPE (0: Single 1: Move),FPS,,,,,,
RunLeft,1,8,,,,,,
,,,,,,,,
TEXTURE ID,L,T,W,H,X,Y,FlipX,FlipY
graphics/WizardRunRight0.png,0,0,48,48,24,24,1,0
graphics/WizardRunRight1.png,0,0,48,48,24,24,1,0
graphics/WizardRunRight2.png,0,0,48,48,24,24,1,0
graphics/WizardRunRight3.png,0,0,48,48,24,24,1,0
graphics/WizardRunRight4.png,0,0,48,48,24,24,1,0
graphics/WizardRunRight5.png,0,0,48,48,24,24,1,0
graphics/WizardRunRight6.png,0,0,48,48,24,24,1,0
graphics/WizardRunRight7.png,0,0,48,48,24,24,1,0
graphics/WizardRunRight8.png,0,0,48,48,24,24,1,0
graphics/WizardRunRight9.png,0,0,48,48,24,24,1,0
